From_Node_ID,To_Node_ID,w1,w2,w3
2,1.0,3231.11,25.243046875,4.168112828384441
52,53.0,26.68,0.026209447321794928,0.0881138693731695
53,52.0,26.68,0.026209447321794928,0.0851026639859026
53,55.0,192.58,0.16668199509640025,0.6158891767463647
53,1518.0,327.74,0.40382818350961563,0.5365070867740177
53,1993.0,260.7,0.33997058211211123,0.511995626158457
54,1992.0,291.17,0.271818931708656,0.5869022684657567
54,1993.0,27.07,0.029834712382575294,0.1007552374507682
55,53.0,192.58,0.16668199509640025,0.6296617017506547
55,56.0,180.58,0.3481291509670933,0.6293522383058334
56,55.0,180.58,0.3481291509670933,0.5584465628270998
57,58.0,138.58,0.5351233291385736,0.5371525018616213
57,59.0,96.92,0.2126073005405144,0.4085140277884803
57,60.0,193.78,0.6703106400070139,0.6068821185253397
58,57.0,138.58,0.5351233291385736,0.4233862665240409
58,61.0,138.79,0.5421325129639891,0.5411155868462053
59,57.0,96.92,0.2126073005405144,0.3707998607590769
59,243.0,94.93,0.15865087613647222,0.3747722470929118
60,57.0,193.78,0.6703106400070139,0.5863195899815763
60,244.0,108.59,0.3563777243821534,0.3381238988106252
60,245.0,276.61,0.8161708018600007,0.8773945704560409
60,246.0,98.33,0.23158889899911786,0.3670452870046527
61,58.0,138.79,0.5421325129639891,0.5163928789039655
61,64.0,269.06,0.6475880111074989,1.047167127904684
61,245.0,192.36,0.3987593823589551,0.6232976145770448
61,4525.0,96.2,0.13944700769409984,0.3440088628953706
62,63.0,96.83,0.22628241001694674,0.3636534028030164
62,64.0,15.34,0.032225083637657755,0.058663544619097
62,65.0,269.58,0.44266627390093827,0.881887443676901
62,1562.0,192.51,0.20386008806872669,0.626561033777997
63,62.0,96.83,0.22628241001694674,0.3990945862325483
63,949.0,94.22,0.17184135934990827,0.3660561018926743
64,61.0,269.06,0.6475880111074989,0.8574724532179657
64,62.0,15.34,0.032225083637657755,0.0468625380401552
64,1520.0,191.87,0.40310431689331105,0.5844349433397784
64,3484.0,191.99,0.21661841566075066,0.6511822538656723
65,62.0,269.58,0.44266627390093827,0.8296111670966764
65,66.0,276.19,0.782488300767453,1.099904810667285
65,67.0,192.08,0.28970573956393075,0.6231318386407666
65,68.0,96.59,0.11690610479885988,0.311528521688529
66,65.0,276.19,0.782488300767453,0.9930812378663604
66,69.0,68.62,0.18711011663844213,0.2330957365321141
66,2020.0,191.67,0.6432042491157937,0.5990776386438229
66,2198.0,1010.97,2.268464180838276,1.2762457538381855
66,3001.0,1004.78,2.258293858355344,1.261579723719385
67,65.0,192.08,0.28970573956393075,0.5858105692143053
67,948.0,191.94,0.32511448076712196,0.6368603714196969
67,1562.0,269.79,0.24959757335041663,1.0979070231700672
67,2019.0,139.22,0.2462870069009817,0.5478986321104595
67,2379.0,761.01,1.5625066528245246,1.043522880539537
68,65.0,96.59,0.11690610479885988,0.3128208170927813
69,66.0,68.62,0.18711011663844213,0.2762633281461273
69,70.0,63.92,0.06732800024871671,0.2401180581012374
70,69.0,63.92,0.06732800024871671,0.2311495162263579
70,71.0,6.15,0.006372293658418036,0.0189394761961401
71,70.0,6.15,0.006372293658418036,0.022943615427406
71,72.0,20.45,0.02031448567980456,0.0778520375037532
72,71.0,20.45,0.02031448567980456,0.0717742729017797
72,73.0,50.43,0.04123553269164352,0.192830142907637
73,72.0,50.43,0.04123553269164352,0.1726266969914007
