From_Node_ID,To_Node_ID,w1,w2,w3
1.0,1995,293.87,0.23794196808639337,0.3442938181769485
1.0,3571,67.39,0.10102560840745824,0.07376801881299
3.0,2542,793.17,1.2891194710452403,0.9243861442915032
5.0,4789,201.88,0.20571004043024893,0.6231039912242575
22.0,4789,200.79,0.19857504468160556,0.8345825287107983
36.0,1710,77.51,0.08483985184066895,0.3211231790916141
37.0,1710,37.57,0.04074709703103984,0.1162659432941078
49.0,51,137.35,0.2683140908225659,0.4177429114400274
51.0,49,137.35,0.2683140908225659,0.4448472973264537
51.0,98,69.37,0.13631954754737258,0.2136421530521864
52.0,53,26.68,0.10468061003740427,0.0881138693731695
52.0,54,261.01,0.8138359348519929,0.5118113195387775
52.0,2418,329.37,0.6863934475063527,0.5397494730304141
53.0,52,26.68,0.10468061003740427,0.0851026639859026
53.0,55,192.58,0.6657912696025492,0.6158891767463647
53.0,1518,327.74,1.6123026274638115,0.5365070867740177
53.0,1993,260.7,1.357168614344578,0.511995626158457
54.0,52,261.01,0.8138359348519929,0.3947538123642232
54.0,1992,291.17,1.0856676446164013,0.5869022684657567
54.0,1993,27.07,0.11911688663186283,0.1007552374507682
55.0,53,192.58,0.6657912696025492,0.6296617017506547
55.0,56,180.58,1.3866385705208437,0.6293522383058334
56.0,55,180.58,1.3866385705208437,0.5584465628270998
57.0,58,138.58,2.1266792847496925,0.5371525018616213
57.0,59,96.92,0.8475667972815534,0.4085140277884803
57.0,60,193.78,2.6663802809116715,0.6068821185253397
58.0,57,138.58,2.1266792847496925,0.4233862665240409
58.0,61,138.79,2.154503572006364,0.5411155868462053
59.0,57,96.92,0.8475667972815534,0.3707998607590769
59.0,243,94.93,0.6329961849144844,0.3747722470929118
60.0,57,193.78,2.6663802809116715,0.5863195899815763
60.0,244,108.59,1.417726164740444,0.3381238988106252
60.0,245,276.61,3.2468847044932634,0.8773945704560409
60.0,246,98.33,0.920677301173822,0.3670452870046527
61.0,58,138.79,2.154503572006364,0.5163928789039655
61.0,64,269.06,2.580937876299393,1.047167127904684
61.0,245,192.36,1.589732937255145,0.6232976145770448
61.0,4525,96.2,0.5557796279531135,0.3440088628953706
62.0,63,96.83,0.9019014452865782,0.3636534028030164
62.0,64,15.34,0.12849403636236947,0.058663544619097
62.0,65,269.58,1.7660856606368396,0.881887443676901
62.0,1562,192.51,0.8130949156136206,0.626561033777997
63.0,62,96.83,0.9019014452865782,0.3990945862325483
63.0,949,94.22,0.6850935282037043,0.3660561018926743
64.0,61,269.06,2.580937876299393,0.8574724532179657
64.0,62,15.34,0.12849403636236947,0.0468625380401552
64.0,1520,191.87,1.6073344287815532,0.5844349433397784
64.0,3484,191.99,0.8637187051929976,0.6511822538656723
65.0,62,269.58,1.7660856606368396,0.8296111670966764
65.0,66,276.19,3.112651785291567,1.099904810667285
65.0,67,192.08,1.1561387892959072,0.6231318386407666
65.0,68,96.59,0.46677405819034656,0.311528521688529
66.0,65,276.19,3.112651785291567,0.9930812378663604
66.0,69,68.62,0.7442437354598324,0.2330957365321141
66.0,2020,191.67,2.558658974966665,0.5990776386438229
66.0,2198,1010.97,9.015390254544513,1.2762457538381855
66.0,3001,1004.78,8.975062691436273,1.261579723719385
67.0,65,192.08,1.1561387892959072,0.5858105692143053
67.0,948,191.94,1.297154355021797,0.6368603714196969
67.0,1562,269.79,0.9959162158290303,1.0979070231700672
67.0,2019,139.22,0.9825365153363829,0.5478986321104595
67.0,2379,761.01,6.23037576449022,1.043522880539537
68.0,65,96.59,0.46677405819034656,0.3128208170927813
68.0,870,95.73,0.25818002816304353,0.2953370686510961
69.0,66,68.62,0.7442437354598324,0.2762633281461273
69.0,70,63.92,0.26888678700160196,0.2401180581012374
70.0,69,63.92,0.26888678700160196,0.2311495162263579
70.0,71,6.15,0.025449579983536953,0.0189394761961401
71.0,70,6.15,0.025449579983536953,0.022943615427406
71.0,72,20.45,0.08113683551989757,0.0778520375037532
72.0,71,20.45,0.08113683551989757,0.0717742729017797
72.0,73,50.43,0.16473349933317788,0.192830142907637
73.0,72,50.43,0.16473349933317788,0.1726266969914007
73.0,2980,66.82,0.11990860807370492,0.2330233905608405
74.0,75,96.47,0.2732626855485782,0.3337257547955006
74.0,76,192.37,0.48176844741171104,0.58349169573463
74.0,77,82.49,0.2336296597514479,0.2534807801390749
74.0,78,193.39,0.47735655369789126,0.6990205261499153
75.0,74,96.47,0.2732626855485782,0.3226990695836894
75.0,79,149.41,0.2675396018685798,0.597858695685887
75.0,1745,112.43,0.2131058877680666,0.4580454543641433
76.0,74,192.37,0.48176844741171104,0.7992455703997929
76.0,393,193.37,0.5551743108391134,0.67164380937459
76.0,2041,74.97,0.11101622939587398,0.2802332680798782
76.0,3213,291.73,0.8237898543442649,0.2964397412108366
76.0,3853,191.66,0.36217912226191223,0.7919375529866709
