eid,total_dist_to_cover,total_risk,total_delay
car_168,6530.23,0.199161,12.613476
car_169,6530.23,0.199161,12.613476
car_170,6530.23,0.199161,12.613476
car_171,1275.94,1.20275,2.313059
car_172,1275.94,1.20275,2.313059
car_173,1275.94,1.20275,2.313059
car_174,1275.94,1.20275,2.313059
car_175,1275.94,1.20275,2.313059
car_176,4692.34,8.801072,14.962231
car_177,4692.34,8.801072,14.962231
car_178,4692.34,8.801072,14.962231
car_179,4692.34,8.801072,14.962231
car_180,4692.34,8.801072,14.962231
car_181,1993.25,0.958721,6.75627
car_182,1993.25,0.958721,6.75627
car_183,1993.25,0.958721,6.75627
car_184,1993.25,0.958721,6.75627
car_185,1993.25,0.958721,6.75627
car_186,1704.58,1.633033,4.799134
car_187,1704.58,1.633033,4.799134
car_188,1704.58,1.633033,4.799134
car_189,1704.58,1.633033,4.799134
car_190,1704.58,1.633033,4.799134
car_191,6530.23,0.199161,12.613476
car_192,6530.23,0.199161,12.613476
car_193,6530.23,0.199161,12.613476
car_194,6530.23,0.199161,12.613476
car_195,6530.23,0.199161,12.613476
car_196,1275.94,1.20275,2.313059
car_197,1275.94,1.20275,2.313059
car_198,1275.94,1.20275,2.313059
car_199,1275.94,1.20275,2.313059
car_200,1275.94,1.20275,2.313059
car_201,4692.34,8.801072,14.962231
car_202,4692.34,8.801072,14.962231
car_203,4692.34,8.801072,14.962231
car_204,4692.34,8.801072,14.962231
car_205,4692.34,8.801072,14.962231
car_206,1993.25,0.958721,6.75627
car_207,1993.25,0.958721,6.75627
car_208,1993.25,0.958721,6.75627
car_209,1993.25,0.958721,6.75627
car_210,1993.25,0.958721,6.75627
car_211,1704.58,1.633033,4.799134
car_212,1704.58,1.633033,4.799134
car_213,1704.58,1.633033,4.799134
car_214,1704.58,1.633033,4.799134
car_215,1704.58,1.633033,4.799134
car_216,6530.23,0.199161,12.613476
car_217,6530.23,0.199161,12.613476
car_218,6530.23,0.199161,12.613476
car_219,6530.23,0.199161,12.613476
car_220,6530.23,0.199161,12.613476
car_221,1275.94,1.20275,2.313059
car_222,1275.94,1.20275,2.313059
car_223,1275.94,1.20275,2.313059
car_224,1275.94,1.20275,2.313059
car_225,1275.94,1.20275,2.313059
car_226,4692.34,8.801072,14.962231
car_227,4692.34,8.801072,14.962231
car_228,4692.34,8.801072,14.962231
car_229,4692.34,8.801072,14.962231
car_230,4692.34,8.801072,14.962231
car_231,1993.25,0.958721,6.75627
car_232,1993.25,0.958721,6.75627
car_233,1993.25,0.958721,6.75627
car_234,1993.25,0.958721,6.75627
car_235,1993.25,0.958721,6.75627
car_236,1704.58,1.633033,4.799134
car_237,1704.58,1.633033,4.799134
car_238,1704.58,1.633033,4.799134
car_239,1704.58,1.633033,4.799134
car_240,1704.58,1.633033,4.799134
car_241,6530.23,0.199161,12.613476
car_242,6530.23,0.199161,12.613476
car_243,6530.23,0.199161,12.613476
car_244,6530.23,0.199161,12.613476
car_245,6530.23,0.199161,12.613476
car_246,1275.94,1.20275,2.313059
car_247,1275.94,1.20275,2.313059
car_248,1275.94,1.20275,2.313059
car_249,1275.94,1.20275,2.313059
car_250,1275.94,1.20275,2.313059
car_251,4692.34,8.801072,14.962231
car_252,4692.34,8.801072,14.962231
car_253,4692.34,8.801072,14.962231
car_254,4692.34,8.801072,14.962231
car_255,4692.34,8.801072,14.962231
car_256,1993.25,0.958721,6.75627
car_257,1993.25,0.958721,6.75627
car_258,1993.25,0.958721,6.75627
car_259,1993.25,0.958721,6.75627
car_260,1993.25,0.958721,6.75627
car_261,1704.58,1.633033,4.799134
car_262,1704.58,1.633033,4.799134
car_263,1704.58,1.633033,4.799134
car_264,1704.58,1.633033,4.799134
car_265,1704.58,1.633033,4.799134
car_266,6530.23,0.199161,12.613476
car_267,6530.23,0.199161,12.613476
car_268,6530.23,0.199161,12.613476
car_269,6530.23,0.199161,12.613476
car_270,6530.23,0.199161,12.613476
car_271,1275.94,1.20275,2.313059
car_272,1275.94,1.20275,2.313059
car_273,1275.94,1.20275,2.313059
car_274,1275.94,1.20275,2.313059
car_275,1275.94,1.20275,2.313059
car_276,3687.47,4.640526,11.437225
car_277,3687.47,4.640526,11.437225
car_278,3687.47,4.640526,11.437225
car_279,3687.47,4.640526,11.437225
car_280,3687.47,4.640526,11.437225
car_281,10363.57,3.462605,15.684121
car_282,10363.57,3.462605,15.684121
car_283,10363.57,3.462605,15.684121
car_284,10363.57,3.462605,15.684121
car_285,10363.57,3.462605,15.684121
car_286,4928.4,6.800762,13.311605
car_287,4928.4,6.800762,13.311605
car_288,4928.4,6.800762,13.311605
car_289,4928.4,6.800762,13.311605
car_290,4928.4,6.800762,13.311605
car_291,2987.34,3.160297,8.618987
car_292,2987.34,3.160297,8.618987
car_293,2987.34,3.160297,8.618987
car_294,2987.34,3.160297,8.618987
car_295,2987.34,3.160297,8.618987
car_296,2579.25,2.818698,5.289651
car_297,2579.25,2.818698,5.289651
car_298,2579.25,2.818698,5.289651
car_299,2579.25,2.818698,5.289651
car_300,2579.25,2.818698,5.289651
car_301,3687.47,4.640526,11.437225
car_302,3687.47,4.640526,11.437225
car_303,3687.47,4.640526,11.437225
car_304,3687.47,4.640526,11.437225
car_305,3687.47,4.640526,11.437225
car_306,10363.57,3.462605,15.684121
car_307,10363.57,3.462605,15.684121
car_308,10363.57,3.462605,15.684121
car_309,10363.57,3.462605,15.684121
car_310,10363.57,3.462605,15.684121
car_311,4928.4,6.800762,13.311605
car_312,4928.4,6.800762,13.311605
car_313,4928.4,6.800762,13.311605
car_314,4928.4,6.800762,13.311605
car_315,4928.4,6.800762,13.311605
car_316,2987.34,3.160297,8.618987
car_317,2987.34,3.160297,8.618987
car_318,2987.34,3.160297,8.618987
car_319,2987.34,3.160297,8.618987
car_320,2987.34,3.160297,8.618987
car_321,2579.25,2.818698,5.289651
car_322,2579.25,2.818698,5.289651
car_323,2579.25,2.818698,5.289651
car_324,2579.25,2.818698,5.289651
car_325,2579.25,2.818698,5.289651
