Node_ID,Lon,Lat,Tract_Node
0,-115.2994952,36.2186258,0
1,-115.3040594,36.2185483,0
2,-115.2423119,36.2342598,0
3,-115.2422956,36.2354559,0
4,-115.2423147,36.2338073,0
5,-115.2883316,36.23105,0
6,-115.2882955,36.2299341,0
7,-115.288361,36.2337208,0
8,-115.2455963,36.1515764,0
9,-115.247877,36.15155,0
10,-115.243426,36.1516206,0
11,-115.2342296,36.149861,0
12,-115.2341449,36.148612,0
13,-115.2343519,36.1516797,0
14,-115.2784763,36.1515158,0
15,-115.278369,36.1515133,0
16,-115.2796368,36.15153,0
17,-115.2598173,36.2841289,0
18,-115.2604221,36.2841985,0
19,-115.2582023,36.2840319,0
20,-115.1598878,36.1809058,0
21,-115.1608059,36.1813165,0
22,-115.1607922,36.1809119,0
23,-115.1996841,36.141284,0
24,-115.1996244,36.1404588,0
25,-115.1997291,36.1420102,0
26,-115.2422669,36.1860215,0
27,-115.2422934,36.1874139,0
28,-115.2422677,36.1849453,0
29,-115.2148448,36.220254,0
30,-115.2163903,36.2219467,0
31,-115.162292,36.147798,0
32,-115.1643504,36.1446897,0
33,-115.161716,36.148676,0
34,-115.160639,36.150319,0
35,-115.1601786,36.1510313,0
36,-115.2182049,36.167773,0
37,-115.2185205,36.1681155,0
38,-115.2180179,36.1675611,0
39,-115.2058978,36.1682855,0
40,-115.205915,36.170017,0
41,-115.2058557,36.1632909,0
42,-115.2058735,36.163979,0
43,-115.136103,36.167275,0
44,-115.134963,36.166786,0
45,-115.137241,36.167764,0
46,-115.135368,36.16846,0
47,-115.134194,36.167956,0
48,-115.136507,36.168948,0
49,-115.134637,36.169634,0
50,-115.133407,36.169102,0
51,-115.135776,36.170126,0
52,-115.3126124,36.2921241,0
53,-115.314837,36.2921521,0
54,-115.3103821,36.2920438,0
55,-115.3126889,36.262728,0
56,-115.3149091,36.2627209,0
57,-115.301378,36.222283,0
58,-115.30235,36.222265,0
59,-115.2989264,36.2223282,0
60,-115.2373396,36.2726508,0
61,-115.2380421,36.2726748,0
62,-115.2359306,36.2725788,0
63,-115.2277958,36.2465739,0
64,-115.2312604,36.2468923,0
65,-115.1507158,36.1808289,0
66,-115.149464,36.1808525,0
67,-115.2255223,36.2638724,0
68,-115.2255237,36.2623457,0
69,-115.151853,36.1808046,0
70,-115.1518555,36.198397,0
71,-115.1518549,36.197492,0
72,-115.1518455,36.1993306,0
73,-115.225669,36.2463948,0
74,-115.277931,36.165104,0
75,-115.278075,36.162883,0
