Node_ID,Lon,Lat,Tract_Node
0,-104.991885,39.7034891,0
1,-104.9909176,39.7031899,0
2,-104.978891,39.6937697,0
3,-104.975191,39.6906986,0
4,-104.9406017,39.7413813,0
5,-104.940596,39.7425704,0
6,-104.9500433,39.6896743,0
7,-104.9500436,39.6893239,0
8,-104.953054,39.7729143,0
9,-104.9519566,39.7729107,0
10,-104.9541619,39.7729181,0
11,-105.0183689,39.7401241,0
12,-105.0199048,39.7400112,0
13,-104.9536645,39.7544501,0
14,-104.9524418,39.7544473,0
15,-104.9549091,39.754453,0
16,-104.9536604,39.7569695,0
17,-104.9548996,39.7569755,0
18,-105.0171489,39.7434604,0
19,-104.9524373,39.7569711,0
20,-104.9536584,39.7582232,0
21,-104.9548949,39.7582231,0
22,-104.952435,39.7582193,0
23,-105.0160478,39.7397788,0
24,-105.0205715,39.7400362,0
25,-105.0203411,39.7400265,0
26,-104.9536557,39.7681223,0
27,-104.9524126,39.7681218,0
28,-104.9548578,39.7681269,0
29,-104.9530315,39.7837509,0
30,-104.951873,39.7837479,0
31,-104.9541415,39.7837537,0
32,-105.0214683,39.7400165,0
33,-104.8160478,39.7812084,0
34,-104.81519,39.7810401,0
35,-104.8168328,39.7813747,0
36,-105.0215698,39.7390289,0
37,-104.817365,39.7783009,0
38,-104.8165238,39.7780569,0
39,-105.0234005,39.7412643,0
40,-104.8193437,39.7743152,0
41,-104.8200686,39.774686,0
42,-104.8186313,39.7739392,0
43,-104.9875201,39.6730923,0
44,-104.9875174,39.6748897,0
45,-104.9036802,39.6712383,0
46,-104.9035328,39.6712367,0
47,-104.9734548,39.6731005,0
48,-104.9734675,39.6748829,0
49,-104.9734694,39.6712774,0
50,-104.9036062,39.6694722,0
51,-104.9687726,39.6730912,0
52,-104.9687668,39.6748603,0
53,-104.9688008,39.6694635,0
54,-104.9594001,39.673029,0
55,-104.9594096,39.6735511,0
56,-104.959396,39.6712237,0
57,-105.004091,39.7608622,0
58,-105.0037248,39.7611251,0
59,-105.0052321,39.7614351,0
60,-105.0016238,39.7637183,0
61,-105.0532459,39.7068853,0
62,-105.0532468,39.707694,0
63,-105.0532449,39.7059146,0
64,-104.998467,39.7666069,0
65,-104.8790959,39.708024,0
66,-104.8788922,39.7080725,0
67,-105.009976,39.7834123,0
68,-105.0066412,39.7827526,0
69,-105.0027787,39.7834835,0
70,-104.9272055,39.7253228,0
71,-104.9260981,39.7253303,0
72,-104.9269681,39.7178293,0
73,-104.9257903,39.7178282,0
74,-104.9281289,39.7178243,0
75,-104.926998,39.7796355,0
76,-104.9296562,39.7801094,0
77,-105.0291076,39.7623496,0
78,-105.0298277,39.7629634,0
79,-104.9269979,39.7837749,0
80,-104.9222828,39.783797,0
81,-104.9316682,39.7834154,0
82,-104.9269677,39.7789,0
83,-104.9258082,39.778669,0
84,-105.0288732,39.7620906,0
85,-104.9269775,39.7655961,0
86,-104.9257775,39.7656033,0
87,-104.928179,39.7655935,0
88,-105.0138229,39.7280796,0
89,-105.0155,39.7313816,0
90,-104.9269967,39.7692196,0
91,-104.9257747,39.7692247,0
92,-104.9281727,39.7692211,0
93,-104.9738751,39.7796201,0
94,-104.972576,39.7796793,0
95,-104.9270037,39.7752307,0
96,-104.931676,39.7758099,0
97,-104.9246277,39.7749196,0
98,-104.9269324,39.7292455,0
99,-104.9272217,39.7292435,0
100,-104.9261167,39.7292472,0
101,-104.9268735,39.7310545,0
102,-104.9271657,39.731222,0
103,-104.9786416,39.779139,0
104,-104.9269118,39.7364955,0
105,-104.9280728,39.7364912,0
106,-104.9791472,39.7788437,0
107,-104.9269218,39.738299,0
108,-104.9257872,39.738302,0
109,-104.9269208,39.7400955,0
110,-104.9257913,39.7400971,0
111,-104.9275873,39.7620069,0
112,-104.9293546,39.7619928,0
113,-104.9791011,39.7791562,0
114,-104.9272037,39.7256241,0
115,-104.9283063,39.7256228,0
116,-104.9407508,39.6816519,0
117,-104.9405165,39.6816365,0
118,-104.9281079,39.7292448,0
119,-104.92699,39.7510667,0
120,-104.9258108,39.7510665,0
121,-104.928174,39.7510667,0
122,-104.9408627,39.6807644,0
123,-104.9269948,39.7546882,0
124,-104.9257722,39.75469,0
125,-104.9281993,39.7546864,0
126,-104.9270063,39.7583402,0
127,-104.9257738,39.7583441,0
128,-104.9416751,39.6819371,0
129,-104.9282384,39.7583363,0
130,-104.9935966,39.7481388,0
131,-104.9923918,39.74907,0
132,-104.9927179,39.7474647,0
133,-104.9911919,39.7499973,0
134,-104.9932554,39.74972,0
135,-104.9903143,39.7493229,0
136,-104.9899765,39.750933,0
137,-104.9908493,39.7516097,0
138,-104.9887668,39.7518642,0
139,-104.9875591,39.7527938,0
140,-104.9878935,39.7511945,0
141,-104.9896431,39.7525389,0
142,-104.9873868,39.7529333,0
143,-104.9873879,39.7526621,0
144,-104.9863465,39.7537355,0
145,-104.9872202,39.7544058,0
146,-104.9870424,39.7531989,0
147,-105.0307527,39.7835901,0
148,-105.0287256,39.7838921,0
149,-104.9851444,39.7546694,0
150,-104.9854782,39.7530567,0
151,-104.9839361,39.7556081,0
152,-104.9827327,39.7565431,0
153,-105.0345915,39.7830396,0
154,-105.0345972,39.7821185,0
155,-104.9815297,39.7574776,0
156,-104.9803198,39.7584176,0
157,-104.9823944,39.7581417,0
158,-104.9806481,39.7568005,0
159,-104.9791199,39.7593496,0
160,-104.9779113,39.7602886,0
161,-104.9733498,39.7638075,0
162,-104.9733517,39.7642119,0
163,-105.0357942,39.7831699,0
164,-104.9733529,39.763259,0
165,-105.0061384,39.7412606,0
166,-105.0056556,39.7410317,0
167,-105.0065354,39.7414524,0
168,-105.0345871,39.7837547,0
169,-104.9316594,39.6622299,0
170,-104.9316651,39.6618181,0
171,-104.9316526,39.6628069,0
172,-105.017433,39.7493151,0
173,-105.015965,39.7510962,0
